vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
CMT,2013-10-09 14:46:30,2013-10-09 14:56:02,1,1.1000000000000001,-73.986868000000001,40.756239999999998,1,N,-73.980560999999994,40.764797000000002,CRD,8,0,0.5,2.1200000000000001,0,10.619999999999999
CMT,2013-10-09 17:32:08,2013-10-09 17:45:40,1,2.8999999999999999,-74.001103000000001,40.721381999999998,1,N,-73.952635999999998,40.712133999999999,CRD,12.5,1,0.5,4.2000000000000002,0,18.199999999999999
CMT,2013-10-07 11:47:37,2013-10-07 11:55:42,1,1.2,-73.973727999999994,40.782853000000003,1,N,-73.984120000000004,40.768515999999998,CRD,7.5,0,0.5,1.6000000000000001,0,9.5999999999999996
CMT,2013-11-25 15:53:33,2013-11-25 16:00:51,1,0.59999999999999998,-73.978104000000002,40.752966000000001,1,N,-73.985755999999995,40.762684999999998,CRD,6,1,0.5,1,0,8.5
CMT,2013-11-25 15:24:41,2013-11-25 15:30:18,1,0.5,-73.982313000000005,40.764826999999997,1,N,-73.982129,40.758889000000003,CRD,5.5,0,0.5,3,0,9
CMT,2013-11-25 09:43:42,2013-11-25 10:02:57,1,3.2999999999999998,-73.982012999999995,40.762506999999999,1,N,-74.006854000000004,40.719582000000003,CRD,15,0,0.5,2,0,17.5
VTS,2013-12-01 00:13:00,2013-12-01 00:31:00,1,3.8999999999999999,-73.979342000000003,40.776651999999999,1,,-73.981866999999994,40.734279999999998,CRD,15.5,0.5,0.5,3,0,19.5
VTS,2013-12-01 00:40:00,2013-12-01 00:48:00,6,3.2000000000000002,-73.939672000000002,40.726154999999999,1,,-73.985579999999999,40.718074999999999,CSH,11.5,0.5,0.5,0,0,12.5
VTS,2013-12-01 02:21:00,2013-12-01 02:30:00,5,3.2799999999999998,-73.958752000000004,40.768076999999998,1,,-73.958752000000004,40.768076999999998,CRD,11,0.5,0.5,2.2999999999999998,0,14.300000000000001
CMT,2014-01-09 20:45:25,2014-01-09 20:52:31,1,0.69999999999999996,-73.994770000000003,40.736828000000003,1,N,-73.982226999999995,40.731789999999997,CRD,6.5,0.5,0.5,1.3999999999999999,0,8.9000000000000004
CMT,2014-01-09 20:46:12,2014-01-09 20:55:12,1,1.3999999999999999,-73.982392000000004,40.773381999999998,1,N,-73.960448999999997,40.763995000000001,CRD,8.5,0.5,0.5,1.8999999999999999,0,11.4
CMT,2014-01-09 20:44:47,2014-01-09 20:59:46,2,2.2999999999999998,-73.988569999999996,40.739406000000002,1,N,-73.986626000000001,40.765217,CRD,11.5,0.5,0.5,1.5,0,14
VTS,2014-02-09 14:51:00,2014-02-09 14:58:00,1,1.0600000000000001,-73.982370000000003,40.768287000000001,1,,-73.977575000000002,40.758175000000001,CSH,6.5,0,0.5,0,0,7
VTS,2014-02-06 14:27:00,2014-02-06 14:44:00,2,1.48,-73.983069999999998,40.764429999999997,1,,-73.993750000000006,40.750329999999998,CRD,11,0,0.5,1,0,12.5
VTS,2014-02-06 14:22:00,2014-02-06 14:45:00,1,2.8399999999999999,-74.002667000000002,40.723770000000002,1,,-73.982271999999995,40.757964999999999,CRD,15.5,0,0.5,3.1000000000000001,0,19.100000000000001
CMT,2014-03-01 01:07:38,2014-03-01 01:16:26,1,2,-73.951504,40.714112999999998,1,N,-73.944277999999997,40.690677000000001,CRD,9,0.5,0.5,2,0,12
CMT,2014-03-01 01:08:03,2014-03-01 01:12:51,2,1.2,-74.004734999999997,40.742173000000001,1,N,-73.992227999999997,40.74821,CRD,6,0.5,0.5,1,0,8
CMT,2014-03-01 01:08:51,2014-03-01 01:13:18,3,0.5,-73.949302000000003,40.707568999999999,1,N,-73.951654000000005,40.71425,CRD,5,0.5,0.5,1.2,0,7.2000000000000002
CMT,2014-04-08 08:59:39,2014-04-08 09:28:57,1,2.5,-73.958848000000003,40.763584999999999,1,N,-73.986283999999998,40.752034000000002,CRD,18,0,0.5,3.7000000000000002,0,22.199999999999999
CMT,2014-04-08 14:59:22,2014-04-08 15:04:52,1,0.90000000000000002,0,0,1,N,0,0,CRD,6,0,0.5,1.3,0,7.7999999999999998
CMT,2014-04-08 08:45:28,2014-04-08 08:50:41,2,0.59999999999999998,-73.992232999999999,40.729135999999997,1,N,-73.991387000000003,40.735185999999999,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
VTS,2014-05-31 17:17:00,2014-05-31 17:17:00,2,0,0,0,1,,0,0,CSH,2.5,0,0.5,0,0,3
VTS,2014-05-31 17:07:00,2014-05-31 17:19:00,2,2.2200000000000002,-73.987039999999993,40.760120000000001,1,,-74.005549999999999,40.745609999999999,CSH,10.5,0,0.5,0,0,11
VTS,2014-05-31 16:29:00,2014-05-31 17:17:00,1,17.109999999999999,0,0,2,,-73.982200000000006,40.750920000000001,CRD,52,0,0.5,11.470000000000001,5.3300000000000001,69.299999999999997
CMT,2014-06-30 00:10:16,2014-06-30 00:25:10,1,4.4000000000000004,-73.994076000000007,40.720134000000002,1,N,-73.957111999999995,40.680574999999997,CRD,15.5,0.5,0.5,2.5,0,19
CMT,2014-06-30 02:09:23,2014-06-30 02:20:36,2,3,-74.007391999999996,40.741115999999998,1,N,-73.987470999999999,40.765773000000003,CRD,12,0.5,0.5,2.6000000000000001,0,15.6
CMT,2014-06-30 03:53:38,2014-06-30 04:08:15,2,4.7000000000000002,-74.005937000000003,40.740136,1,N,-73.954162999999994,40.778651000000004,CRD,16,0.5,0.5,3.3999999999999999,0,20.399999999999999
CMT,2014-07-10 10:07:55,2014-07-10 10:16:19,1,1.2,-73.981240999999997,40.781829000000002,1,N,-73.974051000000003,40.787320000000001,CSH,7.5,0,0.5,0,0,8
CMT,2014-07-10 09:06:52,2014-07-10 09:36:36,1,3.3999999999999999,-74.000952999999996,40.733972000000001,1,N,-73.970544000000004,40.764482000000001,CSH,19,0,0.5,0,0,19.5
CMT,2014-07-10 10:37:55,2014-07-10 10:49:25,1,1,-74.006416999999999,40.733199999999997,1,N,-73.999509000000003,40.723267,CSH,8.5,0,0.5,0,0,9
CMT,2014-08-16 14:58:49,2014-08-16 15:15:59,1,2.7000000000000002,-73.946537000000006,40.776812999999997,1,N,-73.976192999999995,40.755625000000002,CSH,14,0,0.5,0,0,14.5
CMT,2014-08-16 08:10:48,2014-08-16 08:58:16,3,20.399999999999999,-73.776857000000007,40.645099000000002,1,Y,-73.916248999999993,40.837356999999997,CSH,58.5,0,0.5,0,5.3300000000000001,64.329999999999998
CMT,2014-08-16 09:44:07,2014-08-16 09:54:37,1,2.1000000000000001,-73.986585000000005,40.725847999999999,1,N,-73.977157000000005,40.751961000000001,CSH,9.5,0,0.5,0,0,10
VTS,2014-09-10 12:19:00,2014-09-10 12:39:00,2,1.53,-73.962270000000004,40.779057000000002,1,,-73.976247000000001,40.759452000000003,CSH,13.5,0,0.5,0,0,14
VTS,2014-09-10 12:33:00,2014-09-10 12:41:00,1,0.5,-73.974029999999999,40.762791999999997,1,,-73.978341999999998,40.756787000000003,UNK,6,0,0.5,1.2,0,7.7000000000000002
VTS,2014-09-10 12:31:00,2014-09-10 12:39:00,5,1.25,-73.980519999999999,40.738287,1,,-73.994564999999994,40.729317000000002,CSH,7,0,0.5,0,0,7.5
CMT,2014-10-01 08:55:07,2014-10-01 09:11:03,1,2.2000000000000002,-74.005866999999995,40.737569999999998,1,Y,-74.015534000000002,40.708277000000002,CRD,12,0,0.5,1,0,13.5
CMT,2014-10-01 10:51:17,2014-10-01 11:26:11,1,15.699999999999999,-73.873193000000001,40.774056000000002,1,Y,-73.999846000000005,40.631132000000001,CRD,45.5,0,0.5,9.1999999999999993,0,55.200000000000003
CMT,2014-10-01 02:03:03,2014-10-01 02:06:55,1,1,0,0,1,N,0,0,CRD,5,0.5,0.5,1,0,7
VTS,2014-11-01 00:47:00,2014-11-01 01:00:00,5,2.71,-73.96096,40.818779999999997,1,,-73.92362,40.808399999999999,CRD,11.5,0.5,0.5,2.3999999999999999,0,14.9
VTS,2014-11-01 00:28:00,2014-11-01 01:00:00,5,4.6699999999999999,-73.990148000000005,40.729315,1,,-73.954932999999997,40.769334999999998,CRD,23.5,0.5,0.5,6,0,30.5
VTS,2014-11-01 00:39:00,2014-11-01 01:00:00,2,4.5199999999999996,-73.980121999999994,40.742846999999998,1,,-73.977007,40.784256999999997,CRD,17,0.5,0.5,4.3799999999999999,0,22.379999999999999
VTS,2014-12-12 18:16:00,2014-12-12 18:35:00,3,4.0300000000000002,-74.014049999999997,40.711706999999997,1,,-73.995626999999999,40.759461999999999,CSH,16,1,0.5,0,0,17.5
VTS,2014-12-12 18:18:00,2014-12-12 18:36:00,1,4.0999999999999996,-73.945876999999996,40.780524999999997,1,,-73.972558000000006,40.740457999999997,CRD,15,1,0.5,4,0,20.5
VTS,2014-12-12 18:31:00,2014-12-12 18:35:00,1,0.95999999999999996,-73.961449999999999,40.796259999999997,1,,-73.955629999999999,40.787759999999999,CSH,5.5,1,0.5,0,0,7
2,2015-01-15 19:05:39,2015-01-15 19:23:42,1,1.59,-73.993896484375,40.750110626220703,1,N,-73.974784851074219,40.750617980957031,1,12,1,0.5,3.25,0,0.3
1,2015-01-10 20:33:38,2015-01-10 20:53:28,1,3.30,-74.00164794921875,40.7242431640625,1,N,-73.994415283203125,40.759109497070313,1,14.5,0.5,0.5,2,0,0.3
1,2015-01-10 20:33:38,2015-01-10 20:43:41,1,1.80,-73.963340759277344,40.802787780761719,1,N,-73.951820373535156,40.824413299560547,2,9.5,0.5,0.5,0,0,0.3
